TIME,RATE,ERROR,FRACEXP
274752162.79108006,2561.2273,50.60857,1.0
274752163.79108006,2611.9644,51.10738,1.0
274752164.79108006,2496.2646,49.96263,1.0
274752165.79108006,2552.162,50.51893,1.0
274752166.79108006,2607.0159,51.058945,1.0
274752167.79108006,2573.7139,50.731785,1.0
274752168.79108006,2652.0027,51.4976,1.0
274752169.79108006,2541.502,50.41331,1.0
274752170.79108006,2529.3845,50.292988,1.0
274752171.79108006,2590.2952,50.894943,1.0
274752172.79108006,2596.4731,50.9556,1.0
274752173.79108006,2627.0916,51.25516,1.0
274752174.79108006,2677.0327,51.74005,1.0
274752175.79108006,2565.3237,50.649025,1.0
274752176.79108006,2560.5784,50.602158,1.0
274752177.79108006,2663.9805,51.61376,1.0
274752178.79108006,2654.2566,51.519478,1.0
274752179.79108006,2589.708,50.889175,1.0
274752180.79108006,2676.1133,51.731163,1.0
274752181.79108006,2589.3394,50.88555,1.0
274752182.79108006,2573.7542,50.73218,1.0
274752183.79108006,2614.5042,51.13222,1.0
274752184.79108006,2523.891,50.238342,1.0
274752185.79108006,2527.3667,50.272923,1.0
274752186.79108006,2511.965,50.119507,1.0
274752187.79108006,2561.4324,50.610596,1.0
274752188.79108006,2686.6602,51.833004,1.0
274752189.79108006,2610.89,51.096867,1.0
274752190.79108006,2642.7607,51.407787,1.0
274752191.79108006,2538.2485,50.381035,1.0
274752192.79108006,2632.4734,51.307636,1.0
274752193.79108006,2572.6426,50.721226,1.0
274752194.79108006,2477.032,49.76979,1.0
274752195.79108006,2575.1711,50.746143,1.0
274752196.79108006,2666.8367,51.641422,1.0
274752197.79108006,2589.65,50.888603,1.0
274752198.79108006,2567.5352,50.670853,1.0
274752199.79108006,2596.092,50.95186,1.0
274752200.79108006,2633.0254,51.313015,1.0
274752201.79108006,2533.9526,50.338383,1.0
274752202.79108006,2590.712,50.899036,1.0
274752203.79108006,2578.2607,50.776577,1.0
274752204.79108006,2549.4028,50.49161,1.0
274752205.79108006,2589.4495,50.886635,1.0
274752206.79108006,2521.0884,50.21044,1.0
274752207.79108006,2626.5474,51.24985,1.0
274752208.79108006,2587.0752,50.8633,1.0
274752209.79108006,2554.9365,50.54638,1.0
274752210.79108006,2698.2178,51.94437,1.0
274752211.79108006,2533.4902,50.33379,1.0
274752212.79108006,2553.987,50.536987,1.0
274752213.79108006,2564.796,50.643814,1.0
274752214.79108006,2532.5945,50.32489,1.0
274752215.79108006,2605.678,51.04584,1.0
274752216.79108006,2645.556,51.434967,1.0
274752217.79108006,2551.855,35.720127,2.0
274752219.79108006,2591.324,50.90505,1.0
274752220.79108006,2634.4133,51.326538,1.0
274752221.79108006,2539.847,50.396893,1.0
274752222.79108006,2523.2935,50.232395,1.0
274752223.79108006,2510.1707,50.101604,1.0
274752224.79108006,2536.5134,50.36381,1.0
274752225.79108006,2567.4146,50.669662,1.0
274752226.79108006,2633.758,51.320152,1.0
274752227.79108006,2660.2766,51.57787,1.0
274752228.79108006,2559.0405,50.58696,1.0
274752229.79108006,2669.5552,51.66774,1.0
274752230.79108006,2560.2256,50.59867,1.0
274752231.79108006,2580.9358,50.80291,1.0
274752232.79108006,2697.6233,51.93865,1.0
274752233.79108006,2627.897,51.263016,1.0
274752234.79108006,2575.5444,50.74982,1.0
274752235.79108006,2609.925,51.087425,1.0
274752236.79108006,2519.483,50.19445,1.0
274752237.79108006,2544.6482,35.66965,2.0
274752239.79108006,2614.8599,51.1357,1.0
274752240.79108006,2635.2234,51.334427,1.0
274752241.79108006,2562.0503,35.791412,2.0
274752243.79108006,2662.5786,51.60018,1.0
274752244.79108006,2579.3044,50.786854,1.0
274752245.79108006,2695.6794,51.919933,1.0
274752246.79108006,2452.4446,49.522163,1.0
274752247.79108006,2624.7354,51.23217,1.0
274752248.79108006,2513.785,35.45268,2.0
274752250.79108006,2545.0889,50.448875,1.0
274752251.79108006,2631.5752,51.29888,1.0
274752252.79108006,2525.2375,50.251743,1.0
274752253.79108006,2595.5154,50.9462,1.0
274752254.79108006,2573.4055,35.87064,2.0
274752256.79108006,2627.0674,51.254925,1.0
274752257.79108006,2448.4482,49.481796,1.0
274752258.79108006,2481.831,49.817978,1.0
274752259.79108006,2586.5234,50.857876,1.0
274752260.79108006,2609.413,51.082417,1.0
274752261.79108006,2582.0305,50.813683,1.0
274752262.79108006,2481.9731,49.819405,1.0
274752263.79108006,2566.8184,50.663776,1.0
274752264.79108006,2615.0857,51.13791,1.0
274752265.79108006,2531.8137,35.579586,2.0
274752266.79108006,2605.5642,51.044727,1.0
274752268.79108006,2591.7346,50.90908,1.0
274752269.79108006,2635.5723,51.337826,1.0
274752270.79108006,2561.3186,35.7863,2.0
274752271.79108006,2535.4155,50.35291,1.0
274752272.79108006,2550.3489,50.50098,1.0
274752273.79108006,2563.4146,50.630173,1.0
274752275.79108006,2599.8762,50.988983,1.0
274752276.79108006,2528.0334,50.279552,1.0
274752277.79108006,2644.4788,51.424496,1.0
274752278.79108006,2630.499,36.26637,2.0
274752279.79108006,2525.43,50.253654,1.0
274752280.79108006,2539.5725,50.394173,1.0
274752281.79108006,2516.3457,50.16319,1.0
274752282.79108006,2644.786,51.427483,1.0
274752283.79108006,2626.3748,51.24817,1.0
274752284.79108006,2660.1938,51.57707,1.0
274752286.79108006,2536.6433,50.3651,1.0
274752287.79108006,2596.9446,50.960224,1.0
274752288.79108006,2629.1128,36.256813,2.0
274752289.79108006,2607.1592,51.06035,1.0
274752290.79108006,2497.9277,49.979275,1.0
274752292.79108006,2575.0366,50.74482,1.0
274752293.79108006,2681.0286,51.77865,1.0
274752294.79108006,2606.5923,51.0548,1.0
274752295.79108006,2546.1277,35.68002,2.0
274752296.79108006,2510.1018,50.100918,1.0
274752297.79108006,2487.701,49.876858,1.0
274752299.79108006,2590.6802,50.898724,1.0
274752300.79108006,2574.372,50.73827,1.0
274752301.79108006,2620.2454,36.195618,2.0
274752302.79108006,2525.8342,50.25768,1.0
274752304.79108006,2552.5767,50.52303,1.0
274752305.79108006,2550.822,35.7129,2.0
274752306.79108006,2581.718,50.810608,1.0
274752307.79108006,2549.3093,50.490685,1.0
274752308.79108006,2493.3625,49.933582,1.0
274752310.79108006,2543.2012,50.43016,1.0
274752311.79108006,2670.7346,51.67915,1.0
274752312.79108006,2607.409,36.10685,2.0
274752313.79108006,2654.8838,51.525566,1.0
274752314.79108006,2596.4607,50.95548,1.0
274752315.79108006,2672.679,51.69796,1.0
274752317.79108006,2504.9668,50.049644,1.0
274752318.79108006,2579.6685,35.91426,2.0
274752319.79108006,2566.158,50.65726,1.0
274752320.79108006,2506.8083,50.06804,1.0
274752321.79108006,2527.656,50.2758,1.0
274752322.79108006,2589.6277,50.888386,1.0
274752324.79108006,2562.6682,35.795727,2.0
274752325.79108006,2619.5095,51.181145,1.0
274752326.79108006,2568.1836,50.67725,1.0
274752328.79108006,2584.0264,35.944584,2.0
274752329.79108006,2524.6729,50.246124,1.0
274752330.79108006,2685.9434,51.826088,1.0
274752331.79108006,2545.4644,50.452595,1.0
274752332.79108006,2516.2908,50.162643,1.0
274752333.79108006,2511.0088,50.109966,1.0
274752335.79108006,2578.0176,35.902767,2.0
274752337.79108006,2619.3906,36.189713,2.0
274752338.79108006,2583.2449,50.82563,1.0
274752339.79108006,2547.3027,50.47081,1.0
274752340.79108006,2620.775,51.193504,1.0
274752342.79108006,2577.841,35.90154,2.0
274752343.79108006,2596.0579,50.951523,1.0
274752344.79108006,2567.7407,50.67288,1.0
274752346.79108006,2547.16,35.687252,2.0
274752347.79108006,2583.224,50.825428,1.0
274752348.79108006,2539.7734,50.396164,1.0
274752349.79108006,2616.0166,51.14701,1.0
274752350.79108006,2659.2046,51.567474,1.0
274752351.79108006,2649.5774,51.474045,1.0
274752352.79108006,2492.5022,49.924965,1.0
274752353.79108006,2538.3164,50.381706,1.0
274752354.79108006,2597.4385,50.965073,1.0
274752355.79108006,2606.8608,51.057426,1.0
274752356.79108006,2663.923,51.613205,1.0
274752357.79108006,2566.951,50.665085,1.0
274752358.79108006,2538.8865,50.387363,1.0
274752359.79108006,2633.9873,51.322388,1.0
274752360.79108006,2541.9858,50.41811,1.0
274752361.79108006,2592.627,50.917847,1.0
274752362.79108006,2610.0745,51.088886,1.0
274752363.79108006,2554.7947,50.544975,1.0
274752364.79108006,2586.445,50.857105,1.0
274752365.79108006,2498.3022,49.98302,1.0
274752366.79108006,2649.3306,51.47165,1.0
274752367.79108006,2538.379,50.382328,1.0
274752368.79108006,2591.1418,50.90326,1.0
274752369.79108006,2600.469,50.994793,1.0
274752370.79108006,2635.038,51.332623,1.0
274752371.79108006,2612.1038,51.108746,1.0
274752372.79108006,2539.9097,50.39752,1.0
274752373.79108006,2516.4548,50.16428,1.0
274752374.79108006,2518.7002,50.186653,1.0
274752375.79108006,2563.72,50.63319,1.0
274752376.79108006,2524.5903,50.2453,1.0
274752377.79108006,2668.878,51.661182,1.0
274752378.79108006,2557.706,50.57377,1.0
274752379.79108006,2515.8208,50.15796,1.0
274752380.79108006,2582.6533,50.819813,1.0
274752381.79108006,2556.6975,50.563797,1.0
274752382.79108006,2641.8208,51.398647,1.0
274752383.79108006,2618.3982,51.170288,1.0
274752384.79108006,2619.286,51.17896,1.0
274752385.79108006,2618.2244,51.168587,1.0
274752386.79108006,2657.557,51.5515,1.0
274752387.79108006,2493.4707,49.934666,1.0
274752388.79108006,2516.057,50.160313,1.0
274752389.79108006,2583.0706,50.823917,1.0
274752390.79108006,2587.623,50.868683,1.0
274752391.79108006,2622.4976,51.210327,1.0
274752392.79108006,2560.6348,50.602715,1.0
274752393.79108006,2620.17,51.187595,1.0
274752394.79108006,2492.9907,49.92986,1.0
274752395.79108006,2636.6262,51.348087,1.0
274752396.79108006,2635.5085,51.337204,1.0
274752397.79108006,2630.6697,51.290054,1.0
274752398.79108006,2508.227,50.082203,1.0
274752399.79108006,2606.7212,51.05606,1.0
274752400.79108006,2609.6328,51.084564,1.0
274752401.79108006,2540.4736,50.40311,1.0
274752402.79108006,2556.7864,50.564674,1.0
